id,name,description,stock
151,MLED-10M-CCT-127V,"Manguera flexible 120 LEDs x metro, 2835 SMD, exterior 10 m",220
152,MLED-10M-RGB-127V,"Manguera flexible 30 LEDs x metro, 5050 SMD, exterior 10 m",377
153,MLED-120-28.8W-5/BC,"""""Tira flexible 120 LEDs x metro, 2835 SMD, interior""",119
154,MLED-120-28.8W-5/LD,"""""Tira flexible 120 LEDs x metro, 2835 SMD, interior""",283
155,MLED-1-5050SMD,Cable con clavija para manguera de LED 5050 SMD,12919
156,MLED-1-SMD,Cable con clavija para manguera de LED SMD,36832
157,MLED2-25/AM,Manguera redonda de LED 2 hilos 25m 127V IP65 Amarillo,15
158,MLED2-25/AZ,Manguera redonda de LED 2 hilos 25m 127V IP65 Azul,112
159,MLED2-25/BC,Manguera redonda de LED 2 hilos 25m 127V IP65 Blanco Cálido,1338
160,MLED2-25/LD,Manguera redonda de LED 2 hilos 25m 127V IP65 Luz de Día,584
161,MLED2-25/RO,Manguera redonda de LED 2 hilos 25m 127V IP65 Rojo,7
162,MLED2-25/VE,Manguera redonda de LED 2 hilos 25m 127V IP65 Verde,55
163,MLED-2-5050SMD,Conector esquina 25 cm. para manguera de LED 5050 SMD 25 cm,556
164,MLED-2H,Conector medio para manguera de LED 2 hilos,437
165,MLED-2H-1/25,Cable con clavija para manguera de LED 2 hilos,1322
166,MLED-2H-2/25,Conector en T,698
167,MLED-2H-3/25,Conector en X,523
168,MLED-2H-4/25,Conector en L,462
169,MLED-2H-5/25,Clip plástico de montaje para manguera de LED 2 hilos,1173
170,MLED-2H-6/25,Tapa fin plástica para manguera de LED 2 hilos,3055
171,MLED-2H-7/25,Tubo termocotractil,2051
172,MLED-2H-8/25,Extension 1.5 metros con conectores,402
173,MLED-2-SMD,Conector esquina 25 cm. para manguera de LED 3528 SMD,444
174,MLED-3-5050SMD,Conector medio para manguera de LED 5050 SMD,217
175,MLED-3528SMD-127V/BC,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",10016
176,MLED-3528SMD-127V/LD,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",5059
177,MLED-3528SMD-127V-10M/BC,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 10 m""",726
178,MLED-3528SMD-127V-10M/LD,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 10 m""",572
179,MLED-3-SMD,Conector medio para manguera de LED SMD,1675
180,MLED-4-SMD,Conector en L para manguera de LED 3528 SMD (únicamente para cuadros),639
181,MLED-5050SMD-127V/2500K,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",455
182,MLED-5050SMD-127V/BC,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",2757
